file,ground_truth,predicted,correct,raw_score,confidence,primary_variance,coherence,kurtosis
000001.jpg,real,AI,False,1.0,1.0,0.553583,0.018038,4.807154
000002.jpg,real,AI,False,1.0,1.0,0.5388,0.024081,12.152921
000003.jpg,real,AI,False,1.0,1.0,0.598142,0.1658,19.67591
000004.jpg,real,AI,False,1.0,1.0,0.524464,0.020419,6.418964
000005.jpg,real,AI,False,1.0,1.0,0.557754,0.031334,12.201749
000006.jpg,real,AI,False,1.0,1.0,0.539123,0.058853,9.97833
000007.jpg,real,AI,False,1.0,1.0,0.549749,0.002425,10.935171
000008.jpg,real,AI,False,1.0,1.0,0.62278,0.023727,17.757376
000009.jpg,real,AI,False,1.0,1.0,0.570179,0.020056,7.433569
000010.jpg,real,AI,False,1.0,1.0,0.531761,0.02782,11.588458
000011.jpg,real,AI,False,1.0,1.0,0.572235,0.136738,20.795069
000012.jpg,real,AI,False,1.0,1.0,0.564165,0.074636,25.428983
000013.jpg,real,AI,False,1.0,1.0,0.567171,0.048306,15.271136
000014.jpg,real,AI,False,1.0,1.0,0.61074,0.072972,18.598704
000015.jpg,real,AI,False,1.0,1.0,0.526147,0.01693,16.286577
000016.jpg,real,AI,False,1.0,1.0,0.560118,0.024232,38.488268
000017.jpg,real,AI,False,1.0,1.0,0.567821,0.062385,20.695526
000018.jpg,real,AI,False,1.0,1.0,0.537732,0.037429,12.42747
000019.jpg,real,AI,False,1.0,1.0,0.692238,0.023352,5.788921
000020.jpg,real,AI,False,1.0,1.0,0.55882,0.0392,16.322599
000021.jpg,real,AI,False,1.0,1.0,0.562579,0.094589,26.836153
000022.jpg,real,AI,False,1.0,1.0,0.619323,0.047514,8.393825
000023.jpg,real,AI,False,1.0,1.0,0.541772,0.033762,17.662378
000024.jpg,real,AI,False,1.0,1.0,0.58633,0.004683,11.101382
000025.jpg,real,AI,False,1.0,1.0,0.576408,0.012327,23.10726
000026.jpg,real,AI,False,1.0,1.0,0.644157,0.050487,8.645907
000027.jpg,real,AI,False,1.0,1.0,0.543577,0.051061,13.208354
000028.jpg,real,AI,False,1.0,1.0,0.580761,0.021858,2.61958
000029.jpg,real,AI,False,1.0,1.0,0.538889,0.031868,6.808449
000030.jpg,real,AI,False,1.0,1.0,0.565885,0.037095,9.791622
000031.jpg,real,AI,False,1.0,1.0,0.55862,0.034003,30.934626
000032.jpg,real,AI,False,1.0,1.0,0.553122,0.02963,32.480798
