file,ground_truth,predicted,correct,raw_score,confidence,primary_variance,coherence
000001.jpg,real,AI,False,1.0,1.0,0.553583,0.018038
000002.jpg,real,AI,False,1.0,1.0,0.5388,0.024081
000003.jpg,real,AI,False,1.0,1.0,0.598142,0.1658
000004.jpg,real,AI,False,1.0,1.0,0.524464,0.020419
000005.jpg,real,AI,False,1.0,1.0,0.557754,0.031334
000006.jpg,real,AI,False,1.0,1.0,0.539123,0.058853
000007.jpg,real,AI,False,1.0,1.0,0.549749,0.002425
000008.jpg,real,AI,False,1.0,1.0,0.62278,0.023727
000009.jpg,real,AI,False,1.0,1.0,0.570179,0.020056
000010.jpg,real,AI,False,1.0,1.0,0.531761,0.02782
000011.jpg,real,AI,False,1.0,1.0,0.572235,0.136738
000012.jpg,real,AI,False,1.0,1.0,0.564165,0.074636
000013.jpg,real,AI,False,1.0,1.0,0.567171,0.048306
000014.jpg,real,AI,False,1.0,1.0,0.61074,0.072972
000015.jpg,real,AI,False,1.0,1.0,0.526147,0.01693
000016.jpg,real,AI,False,1.0,1.0,0.560118,0.024232
000017.jpg,real,AI,False,1.0,1.0,0.567821,0.062385
000018.jpg,real,AI,False,1.0,1.0,0.537732,0.037429
000019.jpg,real,AI,False,1.0,1.0,0.692238,0.023352
000020.jpg,real,AI,False,1.0,1.0,0.55882,0.0392
000021.jpg,real,AI,False,1.0,1.0,0.562579,0.094589
000022.jpg,real,AI,False,1.0,1.0,0.619323,0.047514
000023.jpg,real,AI,False,1.0,1.0,0.541772,0.033762
000024.jpg,real,AI,False,1.0,1.0,0.58633,0.004683
000025.jpg,real,AI,False,1.0,1.0,0.576408,0.012327
000026.jpg,real,AI,False,1.0,1.0,0.644157,0.050487
000027.jpg,real,AI,False,1.0,1.0,0.543577,0.051061
000028.jpg,real,AI,False,1.0,1.0,0.580761,0.021858
000029.jpg,real,AI,False,1.0,1.0,0.538889,0.031868
000030.jpg,real,AI,False,1.0,1.0,0.565885,0.037095
000031.jpg,real,AI,False,1.0,1.0,0.55862,0.034003
000032.jpg,real,AI,False,1.0,1.0,0.553122,0.02963
000033.jpg,real,AI,False,1.0,1.0,0.667661,0.024765
000034.jpg,real,AI,False,1.0,1.0,0.558669,0.020844
000035.jpg,real,AI,False,1.0,1.0,0.519826,0.02125
000036.jpg,real,AI,False,1.0,1.0,0.50483,0.0646
000037.jpg,real,AI,False,1.0,1.0,0.573042,0.033922
000038.jpg,real,AI,False,1.0,1.0,0.605578,0.065744
000039.jpg,real,AI,False,1.0,1.0,0.528571,0.051295
000040.jpg,real,AI,False,1.0,1.0,0.535418,0.054743
000041.jpg,real,AI,False,1.0,1.0,0.531015,0.100613
000042.jpg,real,AI,False,1.0,1.0,0.548248,0.023213
000043.jpg,real,AI,False,1.0,1.0,0.623803,0.057294
000044.jpg,real,AI,False,1.0,1.0,0.535551,0.002369
000045.jpg,real,AI,False,1.0,1.0,0.647438,0.025736
000046.jpg,real,AI,False,1.0,1.0,0.657026,0.09562
000047.jpg,real,AI,False,1.0,1.0,0.544153,0.145154
000048.jpg,real,AI,False,1.0,1.0,0.565048,0.040012
000049.jpg,real,AI,False,1.0,1.0,0.653862,0.042946
000050.jpg,real,AI,False,1.0,1.0,0.515461,0.064285
000051.jpg,real,AI,False,1.0,1.0,0.605837,0.074027
000052.jpg,real,AI,False,1.0,1.0,0.585452,0.038334
000053.jpg,real,AI,False,1.0,1.0,0.523991,0.029187
000054.jpg,real,AI,False,1.0,1.0,0.521617,0.050956
000055.jpg,real,AI,False,1.0,1.0,0.666443,0.010331
000056.jpg,real,AI,False,1.0,1.0,0.63063,0.014592
000057.jpg,real,AI,False,1.0,1.0,0.581463,0.038712
000058.jpg,real,AI,False,1.0,1.0,0.573489,0.068213
000059.jpg,real,AI,False,1.0,1.0,0.526817,0.070808
000060.jpg,real,AI,False,1.0,1.0,0.592909,0.024973
000061.jpg,real,AI,False,1.0,1.0,0.546978,0.135605
000062.jpg,real,AI,False,1.0,1.0,0.6928,0.056701
000063.jpg,real,AI,False,1.0,1.0,0.611824,0.028455
000064.jpg,real,AI,False,1.0,1.0,0.565129,0.045329
000065.jpg,real,AI,False,1.0,1.0,0.570148,0.12947
000066.jpg,real,AI,False,1.0,1.0,0.513079,0.027923
000067.jpg,real,AI,False,1.0,1.0,0.636285,0.070512
000068.jpg,real,AI,False,1.0,1.0,0.56282,0.018552
000069.jpg,real,AI,False,1.0,1.0,0.637165,0.032627
000070.jpg,real,AI,False,1.0,1.0,0.567433,0.075901
000071.jpg,real,AI,False,1.0,1.0,0.60444,0.017778
000072.jpg,real,AI,False,1.0,1.0,0.53422,0.043333
000073.jpg,real,AI,False,1.0,1.0,0.571376,0.060638
000074.jpg,real,AI,False,1.0,1.0,0.534666,0.003676
000075.jpg,real,AI,False,1.0,1.0,0.65351,0.052631
000076.jpg,real,AI,False,1.0,1.0,0.595634,0.02523
000077.jpg,real,AI,False,1.0,1.0,0.558982,0.065196
000078.jpg,real,AI,False,1.0,1.0,0.597338,0.051052
000079.jpg,real,AI,False,1.0,1.0,0.551404,0.039465
000080.jpg,real,AI,False,1.0,1.0,0.544072,0.019107
000081.jpg,real,AI,False,1.0,1.0,0.537916,0.025948
000082.jpg,real,AI,False,1.0,1.0,0.520679,0.021187
000083.jpg,real,AI,False,1.0,1.0,0.554943,0.043599
000084.jpg,real,AI,False,1.0,1.0,0.610954,0.088128
000085.jpg,real,AI,False,1.0,1.0,0.530774,0.014759
000086.jpg,real,AI,False,1.0,1.0,0.524411,0.060073
000087.jpg,real,AI,False,1.0,1.0,0.546285,0.045838
000088.jpg,real,AI,False,1.0,1.0,0.609127,0.018466
000089.jpg,real,AI,False,1.0,1.0,0.52092,0.040901
